,idx
269978,97081
269977,241855
269976,96418
269975,96842
269974,92800
269973,131475
269972,147530
269971,57430
269970,267426
269969,112004
269968,207973
269967,258352
269966,220707
269965,179579
269964,40110
269963,23258
269962,144542
269961,129091
269960,189836
269959,184203
269958,215563
269957,13376
269956,65183
269955,160165
269954,239616
269953,108313
269952,98822
269951,222699
269950,236372
269949,146286
269948,269834
269947,265447
269946,8636
269945,78905
269944,182360
269943,90853
269942,14014
269941,30933
269940,270011
269939,139269
269938,45435
269937,199560
269936,27725
269935,94846
269934,148023
269933,37465
269932,86982
269931,11297
269930,48856
269929,43720
269928,217097
269927,43121
269926,11899
269925,170360
269924,248037
269923,203819
269922,95564
269921,32981
269920,199645
269919,232620
269918,106185
269917,147597
269916,94742
269915,63440
269914,221386
269913,40631
269912,109380
269911,222679
269910,91078
269909,200510
269908,90976
269907,125272
269906,249952
269905,257054
269904,232076
269903,124763
269902,129623
269901,51352
269900,227833
269899,149159
269898,78122
269897,78196
269896,3069
269895,181806
269894,238238
269893,90236
269892,235895
269891,113747
269890,118893
269889,91537
269888,223710
269887,7464
269886,243618
269885,271101
269884,159832
269883,110419
269882,185932
269881,222047
269880,224844
269879,125810
269878,39071
269877,113390
269876,206924
269875,58592
269874,180309
269873,76455
269872,174620
269871,187778
269870,40033
269869,40998
269868,270459
269867,94687
269866,233022
269865,101875
269864,160426
269863,95155
269862,77746
269861,119380
269860,229480
269859,208036
269858,53100
269857,255162
269856,53942
269855,176201
269854,39352
269853,96568
269852,76400
269851,118787
269850,77673
269849,131405
269848,235277
269847,108095
269846,116769
269845,73519
269844,73931
269843,94206
269842,98436
269841,78482
269840,42680
269839,206389
269838,46028
269837,230285
269836,244469
269835,231182
269834,184365
269833,41005
269832,185713
269831,229873
269830,191219
269829,31046
269828,26188
269827,11465
269826,175206
269825,199751
269824,169537
269823,264500
269822,5739
269821,63480
269820,5202
269819,221395
269818,210081
269817,129536
269816,63341
269815,97023
269814,122220
269813,33346
269812,61836
269811,214995
269810,110307
269809,89527
269808,38161
269807,159989
269806,11074
269805,114755
269804,132347
269803,147613
269802,117424
269801,45913
269800,147505
269799,5193
269798,121351
269797,142920
269796,206907
269795,21459
269794,197332
269793,130542
269792,222426
269791,109999
269790,26210
269789,201217
269788,100254
269787,167395
269786,48176
269785,3613
269784,194843
269783,223672
269782,230215
269781,112039
269780,202368
269779,269131
269778,81155
269777,119160
269776,41492
269775,122401
269774,57319
269773,129069
269772,111776
269771,143983
269770,91116
269769,137450
269768,179033
269767,71679
269766,113571
269765,228880
269764,127453
269763,250558
269762,67102
269761,60974
269760,12164
269759,159470
269758,74603
269757,49863
269756,151296
269755,77404
269754,42766
269753,209641
269752,4326
269751,179300
269750,179360
269749,180274
269748,91104
269747,178425
269746,106181
269745,242620
269744,110162
269743,126188
269742,118468
269741,246681
269740,6854
269739,235641
269738,251208
269737,72094
269736,256072
269735,17478
269734,214444
269733,140425
269732,35836
269731,10177
269730,55025
269729,220098
269728,47740
269727,201934
269726,24202
269725,83304
269724,244761
269723,129291
269722,260254
269721,235390
269720,208089
269719,97418
269718,156385
269717,258735
269716,2049
269715,139003
269714,215788
269713,92021
269712,18956
269711,134768
269710,95745
269709,108675
269708,233153
269707,198960
269706,188015
269705,93155
269704,32280
269703,26017
269702,69359
269701,141591
269700,44583
269699,114696
269698,45914
269697,56130
269696,66946
269695,126082
269694,144081
269693,235532
269692,69979
269691,197354
269690,100360
269689,252600
269688,82255
269687,109988
269686,179929
269685,35937
269684,89964
269683,64872
269682,201061
269681,91496
269680,266911
269679,213669
269678,45700
269677,28651
269676,233072
269675,238217
269674,95430
269673,95537
269672,143830
269671,207000
269670,14648
269669,179913
269668,268766
269667,109134
269666,151763
269665,219712
269664,95204
269663,45279
269662,126885
269661,236442
269660,16306
269659,178048
269658,252708
269657,179558
269656,180082
269655,162830
269654,5499
269653,226677
269652,86101
269651,219848
269650,210847
269649,116571
269648,228548
269647,267387
269646,39182
269645,94271
269644,177246
269643,32394
269642,129710
269641,196502
269640,255690
269639,195553
269638,261862
269637,186671
269636,159703
269635,111759
269634,221219
269633,247058
269632,105257
269631,77770
269630,176976
269629,64317
269628,72562
269627,256723
269626,222778
269625,215284
269624,257159
269623,265210
269622,186716
269621,110592
269620,182590
269619,41314
269618,261132
269617,70471
269616,217137
269615,8685
269614,175972
269613,127686
269612,223681
269611,149483
269610,162270
269609,116595
269608,263709
269607,90474
269606,237799
269605,303
269604,136377
269603,100892
269602,74347
269601,74242
269600,26999
269599,238988
269598,218292
269597,33054
269596,188626
269595,43619
269594,69434
269593,223933
269592,157548
269591,17956
269590,246201
269589,170347
269588,125578
269587,55081
269586,188792
269585,185789
269584,130079
269583,33137
269582,163972
269581,5301
269580,207159
269579,264015
269578,119612
269577,209991
269576,109998
269575,160228
269574,162538
269573,211357
269572,4188
269571,164610
269570,3760
269569,153370
269568,249578
269567,219267
269566,30334
269565,40360
269564,176537
269563,16810
269562,9130
269561,232385
269560,27922
269559,78309
269558,192078
269557,256441
269556,114315
269555,24918
269554,200843
269553,233127
269552,80027
269551,259924
269550,48484
269549,240291
269548,94185
269547,43941
269546,267120
269545,147405
269544,238786
269543,164728
269542,42193
269541,187111
269540,120711
269539,69257
269538,266194
269537,111862
269536,179179
269535,232254
269534,222984
269533,182580
269532,177166
269531,54103
269530,96512
269529,198939
269528,69646
269527,83808
269526,225005
269525,231464
269524,122217
269523,79360
269522,219584
269521,59198
269520,171325
269519,259338
269518,217206
269517,169222
269516,148071
269515,257144
269514,160422
269513,221129
269512,199548
269511,71579
269510,253133
269509,134744
269508,103898
269507,194922
269506,222972
269505,112446
269504,200337
269503,89411
269502,118888
269501,61227
269500,242569
269499,189738
269498,139769
269497,100875
269496,134156
269495,177765
269494,27403
269493,129778
269492,79340
269491,68507
269490,96838
269489,128903
269488,61819
269487,128317
269486,108829
269485,106283
269484,37503
269483,18821
269482,221176
269481,259389
269480,2120
269479,50466
269478,221757
269477,183641
269476,90103
269475,210601
269474,146479
269473,160409
269472,44550
269471,152757
269470,147099
269469,187182
269468,161137
269467,171114
269466,263426
269465,32940
269464,132090
269463,90269
269462,37841
269461,112470
269460,194516
269459,160259
269458,215292
269457,250876
269456,270401
269455,55734
269454,110723
269453,215920
269452,184001
269451,220077
269450,270449
269449,81197
269448,169684
269447,218992
269446,111446
269445,260851
269444,82976
269443,244666
269442,104218
269441,235370
269440,125004
269439,228879
269438,28883
269437,117412
269436,184241
269435,49423
269434,145046
269433,105327
269432,176958
269431,147734
269430,186186
269429,39225
269428,63313
269427,232472
269426,42211
269425,106110
269424,206437
269423,131569
269422,109079
269421,152201
269420,133518
269419,125999
269418,242149
269417,134479
269416,181129
269415,64468
269414,35464
269413,219866
269412,93975
269411,240628
269410,56765
269409,265651
269408,41703
269407,188045
269406,249097
269405,163005
269404,118907
269403,223889
269402,19855
269401,121
269400,239144
269399,118496
269398,242903
269397,32722
269396,44831
269395,41420
269394,91394
269393,184059
269392,219257
269391,26245
269390,202574
269389,156679
269388,98834
269387,269541
269386,16927
269385,228543
269384,215002
269383,24175
269382,268124
269381,54654
269380,204915
269379,235106
269378,121189
269377,45879
269376,107841
269375,104247
269374,170325
269373,54802
269372,67074
269371,194616
269370,142732
269369,84073
269368,108772
269367,117279
269366,26465
269365,260709
269364,106267
269363,198193
269362,166142
269361,84376
269360,132872
269359,136318
269358,138871
269357,238997
269356,162164
269355,47765
269354,224843
269353,264002
269352,204849
269351,59755
269350,239515
269349,136652
269348,123360
269347,194170
269346,128636
269345,40421
269344,244463
269343,252027
269342,260676
269341,213228
269340,231457
269339,200498
269338,198489
269337,209303
269336,180575
269335,59993
269334,244794
269333,145073
269332,243070
269331,270681
269330,214964
269329,269199
269328,5942
269327,69972
269326,222250
269325,109107
269324,57965
269323,181015
269322,4095
269321,162095
269320,38234
269319,106684
269318,77517
269317,126109
269316,207094
269315,208302
269314,221436
269313,270745
269312,215717
269311,223471
269310,206571
269309,268308
269308,221472
269307,78138
269306,126380
269305,192319
269304,223998
269303,140373
269302,128198
269301,191452
269300,37161
269299,245170
269298,59602
269297,76126
269296,114310
269295,257605
269294,110339
269293,194860
269292,33334
269291,22272
269290,110548
269289,240434
269288,49540
269287,266147
269286,147724
269285,106541
269284,205122
269283,135889
269282,72393
269281,170399
269280,193403
269279,258758
269278,25231
269277,145091
269276,266210
269275,247266
269274,100941
269273,36733
269272,114122
269271,129336
269270,152924
269269,44741
269268,47299
269267,164603
269266,244863
269265,243642
269264,136375
269263,125190
269262,54436
269261,34434
269260,234812
269259,106383
269258,63430
269257,202507
269256,263187
269255,116773
269254,98154
269253,227811
269252,145281
269251,123014
269250,94712
269249,193164
269248,126121
269247,34916
269246,121765
269245,42425
269244,71581
269243,159963
269242,268804
269241,263704
269240,26582
269239,256150
269238,113751
269237,163531
269236,127134
269235,263206
269234,21562
269233,219912
269232,168020
269231,112084
269230,191285
269229,196186
269228,53264
269227,46193
269226,126466
269225,6333
269224,60655
269223,147983
269222,189574
269221,196356
269220,129102
269219,172259
269218,219303
269217,220486
269216,30485
269215,147169
269214,266799
269213,76187
269212,180222
269211,23012
269210,39270
269209,39045
269208,237852
269207,84641
269206,74766
269205,236212
269204,74923
269203,235368
269202,226985
269201,242961
269200,235686
269199,153621
269198,1864
269197,219238
269196,113581
269195,134572
269194,98169
269193,81498
269192,122577
269191,266278
269190,140673
269189,44960
269188,92362
269187,230806
269186,147276
269185,70304
269184,125072
269183,219248
269182,166552
269181,6792
269180,229879
269179,78464
269178,41122
269177,97359
269176,20448
269175,27275
269174,252020
269173,114857
269172,146612
269171,153422
269170,139044
269169,257284
269168,220064
269167,84366
269166,14899
269165,35137
269164,101289
269163,242580
269162,248049
269161,90227
269160,149917
269159,67430
269158,224677
269157,38906
269156,23390
269155,32810
269154,45446
269153,221568
269152,159525
269151,185472
269150,98832
269149,266368
269148,126127
269147,179870
269146,255745
269145,45473
269144,109734
269143,31554
269142,161618
269141,17225
269140,15837
269139,179042
269138,192978
269137,41644
269136,2136
269135,175250
269134,162968
269133,103206
269132,185625
269131,178136
269130,153340
269129,24610
269128,239330
269127,144084
269126,90943
269125,136001
269124,111230
269123,77276
269122,186537
269121,92587
269120,63453
269119,189082
269118,121475
269117,203225
269116,196539
269115,177688
269114,214524
269113,123105
269112,38549
269111,65573
269110,39966
269109,111645
269108,160131
269107,52302
269106,23931
269105,218705
269104,194495
269103,15487
269102,107719
269101,78838
269100,246736
269099,232223
269098,155326
269097,200784
269096,153285
269095,127520
269094,20882
269093,232010
269092,236035
269091,119928
269090,172074
269089,51387
269088,215811
269087,254877
269086,269947
269085,77282
269084,25812
269083,253332
269082,174053
269081,167674
269080,132091
269079,14875
269078,104421
269077,32687
269076,260532
269075,100896
269074,203073
269073,195064
269072,110448
269071,68087
269070,71314
269069,262776
269068,125498
269067,24130
269066,99246
269065,145659
269064,108844
269063,187217
269062,266087
269061,181177
269060,259947
269059,173879
269058,250850
269057,144217
269056,149473
269055,219597
269054,27350
269053,164053
269052,242524
269051,9546
269050,192821
269049,39674
269048,15494
269047,62316
269046,102962
269045,92473
269044,246059
269043,80158
269042,96652
269041,223650
269040,12512
269039,209940
269038,253608
269037,82289
269036,84086
269035,57964
269034,177320
269033,201658
269032,50828
269031,242237
269030,311
269029,160115
269028,153223
269027,52850
269026,204619
269025,253936
269024,162217
269023,20479
269022,122234
269021,258354
269020,116303
269019,207377
269018,169183
269017,134725
269016,229185
269015,125797
269014,208816
269013,112541
269012,253561
269011,90811
269010,91585
269009,195591
269008,190312
269007,237269
269006,146528
269005,170084
269004,54548
269003,236994
269002,170554
269001,236282
269000,267742
268999,157223
268998,205765
268997,80062
268996,201884
268995,132312
268994,40520
268993,52943
268992,246162
268991,77511
268990,56918
268989,221070
268988,247035
268987,80857
268986,14498
268985,43927
268984,5198
268983,207043
268982,45845
268981,201285
268980,91718
268979,8008
268978,4186
268977,80351
268976,82019
268975,244729
268974,96409
268973,80425
268972,106355
268971,193461
268970,67819
268969,45964
268968,198063
268967,181330
268966,258721
268965,252050
268964,134717
268963,177163
268962,123684
268961,24450
268960,159180
268959,32386
268958,47042
268957,39229
268956,168576
268955,180740
268954,218007
